date,Read Type,time,kWh
2022-03-30T00:00:00Z,kWh Net,03:00:00,0.6
2022-03-30T00:00:00Z,kWh Net,03:15:00,0.46
2022-03-30T00:00:00Z,kWh Net,03:30:00,0.71
2022-03-30T00:00:00Z,kWh Net,03:45:00,0.32
2022-03-30T00:00:00Z,kWh Net,04:00:00,0.73
2022-03-30T00:00:00Z,kWh Net,04:15:00,0.48
2022-03-30T00:00:00Z,kWh Net,04:30:00,0.63
2022-03-30T00:00:00Z,kWh Net,04:45:00,0.9
2022-03-30T00:00:00Z,kWh Net,05:00:00,0.46
2022-03-30T00:00:00Z,kWh Net,05:15:00,0.81
2022-03-30T00:00:00Z,kWh Net,05:30:00,0.83
2022-03-30T00:00:00Z,kWh Net,05:45:00,0.53
2022-03-30T00:00:00Z,kWh Net,06:00:00,1.21
2022-03-30T00:00:00Z,kWh Net,06:15:00,2.9
2022-03-30T00:00:00Z,kWh Net,06:30:00,1.23
2022-03-30T00:00:00Z,kWh Net,06:45:00,1.21
2022-03-30T00:00:00Z,kWh Net,07:00:00,1.17
2022-03-30T00:00:00Z,kWh Net,07:15:00,0.63
2022-03-30T00:00:00Z,kWh Net,07:30:00,1.14
2022-03-30T00:00:00Z,kWh Net,07:45:00,0.94
2022-03-30T00:00:00Z,kWh Net,08:00:00,0.86
2022-03-30T00:00:00Z,kWh Net,08:15:00,1
2022-03-30T00:00:00Z,kWh Net,08:30:00,0.71
2022-03-30T00:00:00Z,kWh Net,08:45:00,0.42
2022-03-30T00:00:00Z,kWh Net,09:00:00,0.68
2022-03-30T00:00:00Z,kWh Net,09:15:00,0.55
2022-03-30T00:00:00Z,kWh Net,09:30:00,0.26
2022-03-30T00:00:00Z,kWh Net,09:45:00,0.49
2022-03-30T00:00:00Z,kWh Net,10:00:00,0.3
2022-03-30T00:00:00Z,kWh Net,10:15:00,0.45
2022-03-30T00:00:00Z,kWh Net,10:30:00,0.66
2022-03-30T00:00:00Z,kWh Net,10:45:00,0.06
2022-03-30T00:00:00Z,kWh Net,11:00:00,0.81
2022-03-30T00:00:00Z,kWh Net,11:15:00,0.19
2022-03-30T00:00:00Z,kWh Net,11:30:00,0.6
2022-03-30T00:00:00Z,kWh Net,11:45:00,0.71
