date,Read Type,time,kWh
2022-04-17T00:00:00Z,kWh Consumed,13:00:00,0.02200000000000024
2022-04-17T00:00:00Z,kWh Consumed,13:15:00,0.5970000000000002
2022-04-17T00:00:00Z,kWh Consumed,13:30:00,0.385
2022-04-17T00:00:00Z,kWh Consumed,13:45:00,0.06999999999999984
2022-04-17T00:00:00Z,kWh Consumed,14:00:00,0.23399999999999999
2022-04-17T00:00:00Z,kWh Consumed,14:15:00,0.5199999999999998
2022-04-17T00:00:00Z,kWh Consumed,14:30:00,-0.017000000000000126
2022-04-17T00:00:00Z,kWh Consumed,14:45:00,0.5899999999999999
2022-04-17T00:00:00Z,kWh Consumed,15:00:00,0.08599999999999985
2022-04-17T00:00:00Z,kWh Consumed,15:15:00,0.21599999999999997
2022-04-17T00:00:00Z,kWh Consumed,15:30:00,0.41400000000000015
2022-04-17T00:00:00Z,kWh Consumed,15:45:00,0.29600000000000004
2022-04-17T00:00:00Z,kWh Consumed,16:00:00,0.015000000000000124
2022-04-17T00:00:00Z,kWh Consumed,16:15:00,0.18899999999999983
2022-04-17T00:00:00Z,kWh Consumed,16:30:00,0.3520000000000001
2022-04-17T00:00:00Z,kWh Consumed,16:45:00,0.1439999999999999
2022-04-17T00:00:00Z,kWh Consumed,17:00:00,0.22399999999999975
2022-04-17T00:00:00Z,kWh Consumed,17:15:00,0.236
2022-04-17T00:00:00Z,kWh Consumed,17:30:00,0.2649999999999999
2022-04-17T00:00:00Z,kWh Consumed,17:45:00,0.19700000000000006
2022-04-17T00:00:00Z,kWh Consumed,18:00:00,0.1499999999999999
2022-04-17T00:00:00Z,kWh Consumed,18:15:00,0.19399999999999995
2022-04-17T00:00:00Z,kWh Consumed,18:30:00,0.07699999999999996
2022-04-17T00:00:00Z,kWh Consumed,18:45:00,0.119
2022-04-17T00:00:00Z,kWh Consumed,19:00:00,0.605
2022-04-17T00:00:00Z,kWh Consumed,19:15:00,0.484
2022-04-17T00:00:00Z,kWh Consumed,19:30:00,0.7070000000000001
2022-04-17T00:00:00Z,kWh Consumed,19:45:00,0.183
2022-04-17T00:00:00Z,kWh Consumed,20:00:00,0.74
2022-04-17T00:00:00Z,kWh Consumed,20:15:00,0.22
2022-04-17T00:00:00Z,kWh Consumed,20:30:00,0.67
2022-04-17T00:00:00Z,kWh Consumed,20:45:00,0.63
2022-04-17T00:00:00Z,kWh Consumed,21:00:00,0.36
2022-04-17T00:00:00Z,kWh Consumed,21:15:00,0.75
2022-04-17T00:00:00Z,kWh Consumed,21:30:00,0.69
2022-04-17T00:00:00Z,kWh Consumed,21:45:00,0.3
2022-04-17T00:00:00Z,kWh Consumed,22:00:00,0.23
2022-04-17T00:00:00Z,kWh Consumed,22:15:00,0.23
2022-04-17T00:00:00Z,kWh Consumed,22:30:00,0.22
2022-04-17T00:00:00Z,kWh Consumed,22:45:00,0.21
2022-04-17T00:00:00Z,kWh Consumed,23:00:00,0.2
2022-04-17T00:00:00Z,kWh Consumed,23:15:00,0.19
2022-04-17T00:00:00Z,kWh Consumed,23:30:00,0.2
2022-04-17T00:00:00Z,kWh Consumed,23:45:00,0.19
2022-04-18T00:00:00Z,kWh Consumed,00:00:00,0.21
2022-04-18T00:00:00Z,kWh Consumed,00:15:00,0.22
2022-04-18T00:00:00Z,kWh Consumed,00:30:00,0.22
2022-04-18T00:00:00Z,kWh Consumed,00:45:00,0.22
2022-04-18T00:00:00Z,kWh Consumed,01:00:00,0.22
2022-04-18T00:00:00Z,kWh Consumed,01:15:00,0.2
